date,value
2018-01-05,3913100
2018-01-10,4026400
2018-01-10,3908000
2018-01-11,4095800
2018-01-17,4075400
2018-01-22,3688700
2018-01-22,3785200
2018-01-23,4077800
2018-01-29,4084200
2018-02-03,2174800
2018-02-03,3827600
2018-02-04,4130900
2018-02-10,4024600
2018-02-15,3573300
2018-02-15,3628700
2018-02-16,3942200
2018-02-22,3903300
2018-02-27,3748100
2018-02-27,3840100
2018-02-28,4228200
2018-03-06,4424400
2018-03-11,4580300
2018-03-11,4313200
2018-03-12,4738400
2018-03-17,5184600
2018-03-18,5639100
2018-03-23,6063400
2018-03-23,5767600
2018-03-24,6538400
2018-03-29,5952400
2018-03-30,6390400
2018-04-04,5988000
2018-04-04,5540900
2018-04-05,6258100
2018-04-10,5170300
2018-04-11,6614200
2018-04-16,6288400
2018-04-16,6531300
2018-04-17,6615100
2018-04-22,6135500
2018-04-23,6818000
2018-04-28,6874700
2018-04-28,6025100
2018-04-29,7253000
2018-05-04,6219100
2018-05-05,6846100
2018-05-10,6587400
2018-05-10,6663800
2018-05-11,7011200
2018-05-16,6055400
2018-05-17,6863000
2018-05-22,6566800
2018-05-23,7119900
2018-05-28,6831500
2018-05-29,7078900
2018-06-03,6639600
2018-06-03,6393800
2018-06-04,7286100
2018-06-09,6393600
2018-06-10,7106300
2018-06-15,5829700
2018-06-15,6857000
2018-06-16,7076100
2018-06-22,7040300
2018-06-27,6479900
2018-06-27,5626800
2018-06-28,6876000
2018-07-04,6524500
2018-07-09,5720300
2018-07-09,5376200
2018-07-10,6195100
2018-07-16,5607000
2018-07-21,5208200
2018-07-21,3636800
2018-07-22,5382400
2018-07-28,5005100
2018-08-02,4361100
2018-08-02,3678000
2018-08-03,4867900
2018-08-09,4749100
2018-08-14,3497900
2018-08-14,3377500
2018-08-15,4663700
2018-08-21,4651400
2018-08-26,2360300
2018-08-26,4032800
2018-08-27,4398300
2018-09-02,4233700
2018-09-07,3734900
2018-09-07,1704200
2018-09-08,4341600
2018-09-14,4045900
2018-09-19,3619700
2018-09-19,3096800
2018-09-20,4054600
2018-09-26,4069600
2018-10-01,3664200
2018-10-01,3249000
2018-10-02,4037500
2018-10-08,3789200
2018-10-13,2493100
2018-10-13,3491300
2018-10-14,4383100
2018-10-20,4182000
2018-10-25,3659400
2018-10-25,3247900
2018-10-26,4106200
2018-11-01,4259900
2018-11-06,4251300
2018-11-06,4200900
2018-11-07,4358900
2018-11-13,4383400
2018-11-18,3745700
2018-11-18,4288100
2018-11-19,4422800
2018-11-25,4400800
2018-11-30,4082700
2018-11-30,4498400
2018-12-01,4479700
2018-12-06,4299100
2018-12-07,4392800
2018-12-12,4240500
2018-12-12,3846200
2018-12-13,4446100
2018-12-19,4473200
2018-12-24,4046900
2018-12-24,2942500
2018-12-25,4430000
2019-01-05,3242300
2019-01-05,4079100
2019-01-06,4261100
2019-01-11,4124600
2019-01-11,3030500
2019-01-12,3934400
2019-01-17,4197400
2019-01-17,3008000
2019-01-18,4448900
2019-01-23,4584500
2019-01-23,4265800
2019-01-24,4740700
2019-01-29,4355600
2019-01-29,4456800
2019-01-30,4399500
2019-02-04,2556700
2019-02-04,4408800
2019-02-05,4308800
2019-02-10,4343200
2019-02-10,4108100
2019-02-11,4460800
2019-02-16,2853200
2019-02-16,3896600
2019-02-17,4296300
2019-02-22,3060600
2019-02-22,4163000
2019-02-23,4336300
2019-02-28,3648700
2019-02-28,4234700
2019-03-01,4381500
2019-03-06,3976600
2019-03-06,4319000
2019-03-07,4645700
2019-03-12,4205600
2019-03-12,3718900
2019-03-13,4590400
2019-03-18,4254200
2019-03-18,3997900
2019-03-19,4359000
2019-03-24,3434600
2019-03-24,4145900
2019-03-25,4362200
2019-03-30,3448300
2019-03-30,3038300
2019-03-31,4236000
2019-04-05,3912600
2019-04-05,3829900
2019-04-06,4487600
2019-04-11,4071100
2019-04-11,4068100
2019-04-12,4372100
2019-04-17,3685100
2019-04-17,3336800
2019-04-23,4551800
2019-04-23,4329000
2019-04-24,4517100
2019-04-29,3755700
2019-04-29,4218500
2019-04-30,4455200
2019-05-05,3076100
2019-05-05,3667900
2019-05-06,4466600
2019-05-11,3078100
2019-05-11,4144000
2019-05-12,4387100
2019-05-17,3577300
2019-05-17,3648500
2019-05-18,4669500
2019-05-23,3864500
2019-05-23,4096800
2019-05-24,4228500
2019-05-29,3701100
2019-05-29,3168800
2019-05-30,4229100
2019-06-04,2721300
2019-06-04,3580700
2019-06-05,4469000
2019-06-10,4098500
2019-06-10,3809000
2019-06-11,4523100
2019-06-16,3799600
2019-06-16,3177900
2019-06-17,4239400
2019-06-22,2912100
2019-06-22,3892500
2019-06-23,4231800
2019-06-28,3661600
2019-06-28,3925600
2019-07-04,3801600
2019-07-04,3955200
2019-07-05,4174900
2019-07-10,4067600
2019-07-10,3556800
2019-07-11,4341300
2019-07-16,3832400
2019-07-16,3419800
2019-07-17,4521200
2019-07-22,3908300
2019-07-22,3537800
2019-07-23,4244300
2019-07-28,3761300
2019-07-28,3631300
2019-07-29,4265300
2019-08-03,3700300
2019-08-03,3798600
2019-08-04,4225500
2019-08-09,3422600
2019-08-09,3466400
2019-08-10,4361800
2019-08-15,3723900
2019-08-15,3298000
2019-08-16,4280500
2019-08-21,3046200
2019-08-21,3539100
2019-08-22,4303800
2019-08-27,3203900
2019-08-27,4031900
2019-08-28,4189300
2019-09-02,3418600
2019-09-02,3058000
2019-09-03,4328500
2019-09-08,3712400
2019-09-08,2758600
2019-09-09,4092400
2019-09-14,3515800
2019-09-14,3845500
2019-09-15,4066300
2019-09-20,2734500
2019-09-20,3588000
2019-09-21,3989700
2019-09-26,3236400
2019-09-26,2760000
2019-09-27,3728800
2019-10-02,1848000
2019-10-02,3156600
2019-10-03,3581100
2019-10-08,2198100
2019-10-08,2680100
2019-10-09,3728400
2019-10-14,3467100
2019-10-14,366500
2019-10-15,3796600
2019-10-20,3328600
2019-10-20,3295200
2019-10-21,3552000
2019-10-26,3147300
2019-10-26,1770500
2019-10-27,3385700
2019-11-01,3085400
2019-11-01,3047000
2019-11-02,4033900
2019-11-07,3155100
2019-11-07,3387600
2019-11-08,3758700
2019-11-13,1863500
2019-11-13,2403000
2019-11-14,3454100
2019-11-19,3265800
2019-11-19,2866900
2019-11-20,3516300
2019-11-25,3788900
2019-11-25,3514400
2019-11-26,3689300
2019-12-01,3598800
2019-12-01,3723000
2019-12-02,3841000
2019-12-07,2997000
2019-12-07,3380900
2019-12-08,3931100
2019-12-13,3097400
2019-12-13,3867500
2019-12-14,3889000
2019-12-19,3981000
2019-12-19,3808300
2019-12-20,4171400
2019-12-25,4199500
2019-12-25,3624400
2019-12-26,4244300
2020-01-01,4195900
2020-01-06,3013400
2020-01-06,4085900
2020-01-07,4096600
2020-01-12,3795300
2020-01-12,2622500
2020-01-13,4086000
2020-01-18,3578500
2020-01-18,4241700
2020-01-19,4439300
2020-01-24,3992100
2020-01-24,3970300
2020-01-25,4311000
2020-01-30,4277900
2020-01-30,4137500
2020-01-31,4352100
2020-02-05,4208500
2020-02-05,4091300
2020-02-06,4452800
2020-02-11,4247200
2020-02-11,4182100
2020-02-12,4359600
2020-02-17,4215600
2020-02-17,4221700
2020-02-18,4537000
2020-02-23,4018400
2020-02-23,2834500
2020-02-24,4323800
2020-02-29,4035500
2020-02-29,3969100
2020-03-01,4318200
2020-03-06,4326200
2020-03-06,3662200
2020-03-07,4228800
2020-03-12,4051800
2020-03-12,3372000
2020-03-13,4456400
2020-03-18,4093200
2020-03-18,2683300
2020-03-19,4341000
2020-03-24,4017400
2020-03-24,4089600
2020-03-25,4503600
2020-03-30,3959500
2020-03-30,4301400
2020-03-31,4532100
2020-04-05,4008100
2020-04-05,4275100
2020-04-06,4652100
2020-04-11,4523800
2020-04-12,4624200
2020-04-17,4393400
2020-04-17,4428100
2020-04-18,4576700
2020-04-23,4462000
2020-04-23,4066200
2020-04-24,4568200
2020-04-29,4433500
2020-04-29,4338600
2020-04-30,4704600
2020-05-05,4430300
2020-05-05,4351900
2020-05-06,4729200
2020-05-11,4393600
2020-05-11,4438400
2020-05-12,4809100
2020-05-17,4700500
2020-05-17,4612300
2020-05-18,4781800
2020-05-23,4500100
2020-05-23,4428000
2020-05-24,4756400
2020-05-29,3717000
2020-05-29,4392300
2020-05-30,4618300
2020-06-04,2689000
2020-06-04,3751300
2020-06-05,4609700
2020-06-10,3732800
2020-06-10,3861400
2020-06-11,4498200
2020-06-16,4237600
2020-06-16,3860700
