date,value
2018-01-05,8691900
2018-01-05,8683100
2018-01-11,8243500
2018-01-17,8611300
2018-01-17,7873600
2018-01-23,8036100
2018-01-29,8813400
2018-01-29,7937900
2018-02-04,8861800
2018-02-10,8831700
2018-02-10,8709900
2018-02-16,8749100
2018-02-22,8651700
2018-02-22,7974000
2018-02-28,9049800
2018-03-06,8623900
2018-03-06,9315400
2018-03-12,9990200
2018-03-18,10666700
2018-03-18,10740500
2018-03-24,11366300
2018-03-30,4448400
2018-03-30,11119900
2018-04-05,10897100
2018-04-11,10417000
2018-04-11,11742800
2018-04-17,12130300
2018-04-23,12539000
2018-04-23,12633400
2018-04-29,10065300
2018-05-05,12195300
2018-05-05,12955400
2018-05-11,13065400
2018-05-17,13038100
2018-05-17,12383800
2018-05-23,13047800
2018-05-29,13327100
2018-05-29,12224200
2018-06-04,12398600
2018-06-10,13050500
2018-06-10,13168100
2018-06-16,13081200
2018-06-22,13165100
2018-06-22,13319400
2018-06-28,12707000
2018-07-04,13062600
2018-07-04,12579700
2018-07-10,12845800
2018-07-16,13369300
2018-07-16,12859600
2018-07-22,12725400
2018-07-28,12753300
2018-07-28,13691900
2018-08-03,12631400
2018-08-09,12732000
2018-08-09,13636600
2018-08-15,12424500
2018-08-21,12173800
2018-08-21,12788100
2018-08-27,9359700
2018-09-02,12636100
2018-09-02,12379100
2018-09-08,11969300
2018-09-14,13333900
2018-09-14,12194200
2018-09-20,12094200
2018-09-26,11955100
2018-09-26,6594800
2018-10-02,9970200
2018-10-08,12369700
2018-10-08,12180900
2018-10-14,13210400
2018-10-20,11950200
2018-10-20,11872000
2018-10-26,9960700
2018-11-01,11959100
2018-11-01,11899000
2018-11-07,12006300
2018-11-13,11913000
2018-11-13,11825700
2018-11-19,12090700
2018-11-25,12289400
2018-11-25,10274800
2018-12-01,12051500
2018-12-07,11407300
2018-12-07,12088600
2018-12-13,12527600
2018-12-19,12317700
2018-12-19,12107200
2018-12-25,11995900
2019-01-06,12126900
2019-01-06,9286700
2019-01-12,10505600
2019-01-12,11921400
2019-01-18,12242400
2019-01-18,10843700
2019-01-24,11956800
2019-01-24,12433100
2019-01-30,11289300
2019-01-30,6508000
2019-02-05,10552900
2019-02-05,12654600
2019-02-11,12859900
2019-02-11,12857200
2019-02-17,8699500
2019-02-17,12772200
2019-02-23,9388100
2019-02-23,12766500
2019-03-01,12469800
2019-03-01,12869100
2019-03-07,13009600
2019-03-07,13046000
2019-03-13,12061600
2019-03-13,12686800
2019-03-19,12769200
2019-03-19,11933100
2019-03-25,11334600
2019-03-25,12910100
2019-03-31,12878200
2019-03-31,12789200
2019-04-06,12847000
2019-04-06,12752300
2019-04-12,12846700
2019-04-12,11876900
2019-04-18,13031000
2019-04-24,13275300
2019-04-24,13218000
2019-04-30,13107600
2019-04-30,13240900
2019-05-06,13051300
2019-05-06,13027600
2019-05-12,12662400
2019-05-12,13077700
2019-05-18,11462000
2019-05-18,12821100
2019-05-24,12839100
2019-05-30,11885100
2019-05-30,13338300
2019-06-05,13035100
2019-06-05,12083200
2019-06-11,13268800
2019-06-11,12218800
2019-06-17,13026300
2019-06-17,12109000
2019-06-23,11685700
2019-06-23,12428100
2019-06-29,12161600
2019-07-05,10968800
2019-07-05,12062500
2019-07-11,11081900
2019-07-11,10958700
2019-07-17,11425900
2019-07-17,10662000
2019-07-23,10965300
2019-07-23,10333100
2019-07-29,10976100
2019-07-29,9820100
2019-08-04,10437900
2019-08-04,9497100
2019-08-10,10247900
2019-08-10,8729400
2019-08-16,8848000
2019-08-16,9725500
2019-08-22,8775200
2019-08-22,9497700
2019-08-28,8713600
2019-08-28,8786400
2019-09-03,6993000
2019-09-03,8319600
2019-09-09,8754200
2019-09-09,7760000
2019-09-15,8231800
2019-09-15,8482000
2019-09-21,9075900
2019-09-21,8659800
2019-09-27,9007900
2019-09-27,8865800
2019-10-03,9258100
2019-10-03,9094700
2019-10-09,9147100
2019-10-09,9110100
2019-10-15,9100000
2019-10-15,8768800
2019-10-21,8913500
2019-10-21,9066700
2019-10-27,8762300
2019-10-27,7571000
2019-11-02,7856600
2019-11-02,8825400
2019-11-08,8417000
2019-11-08,8535900
2019-11-14,9419500
2019-11-14,7238300
2019-11-20,9340200
2019-11-20,9023900
2019-11-26,9666300
2019-11-26,9399400
2019-12-02,9539400
2019-12-02,9508300
2019-12-08,9599800
2019-12-08,9606400
2019-12-14,9671800
2019-12-14,9637400
2019-12-20,9723900
2019-12-20,9488000
2019-12-26,10886600
2019-12-26,11024200
2020-01-01,10510200
2020-01-07,10711600
2020-01-07,11146700
2020-01-13,11149600
2020-01-13,10316700
2020-01-19,10849700
2020-01-19,11252700
2020-01-25,11509600
2020-01-25,11502900
2020-01-31,11665300
2020-01-31,11731800
2020-02-06,7834100
2020-02-06,11794100
2020-02-12,11933100
2020-02-12,11813400
2020-02-18,11853200
2020-02-18,11760600
2020-02-24,11171000
2020-02-24,11797000
2020-03-01,11704700
2020-03-01,10174300
2020-03-07,11462500
2020-03-07,11853000
2020-03-13,12036400
2020-03-19,8365800
2020-03-19,9524400
2020-03-25,12268300
2020-03-25,12153300
2020-03-31,12199300
2020-03-31,12366200
2020-04-06,12343400
2020-04-06,12339200
2020-04-12,10877900
2020-04-12,12301900
2020-04-18,12371800
2020-04-18,12463600
2020-04-24,12309700
2020-04-24,12353200
2020-04-30,12541400
2020-04-30,12534800
2020-05-06,12551800
2020-05-06,12605300
2020-05-12,12608600
2020-05-12,12422600
2020-05-18,12700800
2020-05-18,12676400
2020-05-24,12580500
2020-05-24,12733100
2020-05-30,12229000
2020-05-30,12383800
2020-06-05,12099600
2020-06-05,11890100
2020-06-11,11446900
2020-06-11,9457000
2020-06-17,11479300
2020-06-17,11580300
2020-06-23,11316400
2020-06-23,10563200
2020-06-29,10754000
2020-06-29,11314600
2020-07-05,10200300
2020-07-05,10784500
2020-07-11,10347700
2020-07-11,10064500
2020-07-17,10155200
2020-07-17,9333300
2020-07-23,9842500
2020-07-23,9028400
2020-07-29,8948900
2020-07-29,9347700
2020-08-04,9114900
2020-08-04,8687900
2020-08-10,8776500
2020-08-10,8206100
2020-08-16,8053100
2020-08-16,7858300
2020-08-22,8146900
2020-08-22,7604300
2020-08-28,7360600
2020-08-28,7373000
2020-09-03,7774000
2020-09-03,7332400
2020-09-09,7225700
2020-09-09,7734300
2020-09-15,7090200
2020-09-15,7457800
2020-09-21,7361400
2020-09-21,7514200
2020-09-27,7157200
2020-09-27,7147600
2020-10-03,7691800
2020-10-03,7143100
2020-10-09,6981500
2020-10-09,7016400
2020-10-15,6949100
2020-10-15,6523700
2020-10-21,6720700
2020-10-21,6616500
2020-10-27,6667400
2020-10-27,6946800
2020-11-02,6557300
2020-11-02,6881200
2020-11-08,6827700
2020-11-08,6894800
2020-11-14,6890500
2020-11-14,6924700
2020-11-20,6949300
2020-11-20,6600900
2020-11-26,6754900
2020-11-26,7020800
2020-12-02,5700900
2020-12-02,7032100
2020-12-08,7201400
2020-12-14,7180200
2020-12-14,7234800
2020-12-20,7346500
2020-12-20,7374600
2020-12-26,7286200
2020-12-26,6398700
